beginTime,classType,EventOccurred
2015-02-24T09:54Z,C1.4,1
2015-02-28T08:58Z,C5.6,1
2015-03-02T06:31Z,M1.0,1
2015-03-02T09:37Z,M1.1,1
2015-03-02T15:10Z,M3.7,1
2015-03-02T19:21Z,M4.1,1
2015-03-03T01:25Z,M8.2,1
2015-03-05T17:06Z,M1.2,1
2015-03-06T04:14Z,M3.0,1
2015-03-06T06:55Z,M1.5,1
2015-03-07T21:45Z,M9.2,1
2015-03-09T14:22Z,M4.5,1
2015-03-09T23:29Z,M5.8,1
2015-03-10T03:19Z,M5.1,1
2015-03-10T23:46Z,M2.9,1
2015-03-11T07:10Z,M1.8,1
2015-03-11T07:51Z,M2.6,1
2015-03-11T16:11Z,X2.2,1
2015-03-11T18:37Z,M1.0,1
2015-03-12T04:41Z,M3.2,1
2015-03-12T11:38Z,M1.6,1
2015-03-12T12:09Z,M1.4,1
2015-03-12T13:50Z,M4.2,1
2015-03-12T21:44Z,M2.7,1
2015-03-13T03:47Z,M1.2,1
2015-03-13T05:49Z,M1.8,1
2015-03-14T04:23Z,M1.3,1
2015-03-15T01:15Z,C9.1,1
2015-03-15T09:36Z,M1.0,1
2015-03-15T22:42Z,M1.2,1
2015-03-16T10:39Z,M1.6,1
2015-03-17T22:49Z,M1.0,1
2015-04-08T14:37Z,M1.4,1
2015-04-12T08:51Z,M1.1,1
2015-04-18T14:03Z,C5.2,1
2015-04-21T07:08Z,M1.0,1
2015-04-21T10:17Z,M2.2,1
2015-04-21T11:49Z,M2.2,1
2015-04-21T15:24Z,M4.0,1
2015-04-21T16:55Z,M2.1,1
2015-04-21T21:39Z,M1.8,1
2015-04-21T21:58Z,M1.2,1
2015-04-22T08:30Z,M1.1,1
2015-04-23T09:18Z,M1.1,1
2015-05-05T09:42Z,M1.9,1
2015-05-05T13:45Z,M1.2,1
2015-05-05T14:19Z,M1.3,1
2015-05-05T17:12Z,M2.6,1
2015-05-05T22:05Z,X2.7,1
2015-05-06T11:45Z,M1.9,1
2015-05-12T02:15Z,C2.6,1
2015-05-13T18:09Z,C9.2,1
2015-06-09T03:40Z,C5.8,1
2015-06-09T19:55Z,C2.8,1
2015-06-11T08:50Z,M1.0,1
2015-06-13T07:20Z,M1.3,1
2015-06-14T00:52Z,M2.0,1
